source_id	ONCpc2	_RAJ2000	_DEJ2000	N	NIC	RAJ2000	DEJ2000	F336W	e_F336W	f_F336W	F439W	e_F439W	f_F439W	F656N	e_F656N	f_F656N	F814W	e_F814W	f_F814W
2001	64	83.733213	-5.386922	1	0	05 34 55.971	-05 23 12.92	14.0447	0.0103	1	13.3124	0.0103	1	10.9498	0.0102	1	10.6135	0.0103	1
1758	65	83.716708	-5.411964	1	0	05 34 52.010	-05 24 43.07	17.976	0.0174	1	18.0976	0.0235	1	14.1077	0.0122	1	14.2256	0.0113	1
1894	66	83.72545	-5.37405	1	0	05 34 54.108	-05 22 26.58	22.2059	0.2974	1	21.8088	0.2674	1	18.3882	0.1316	1	15.9466	0.0168	1
1758	67	83.716837	-5.411922	1	0	05 34 52.041	-05 24 42.92	17.3351	0.0135	1	17.4773	0.0168	1	13.9323	0.0117	1	14.1079	0.0112	1
1920	68	83.727292	-5.383897	1	1	05 34 54.550	-05 23 02.03	       	21.6456	2	       	22.5571	2	       	19.6402	2	17.6887	0.0526	1
1843	69	83.721558	-5.400256	2	0	05 34 53.174	-05 24 00.92	       	21.6796	2	       	21.4723	2	19.2583	0.2224	1	17.7106	0.0488	1
1843	69	83.721558	-5.400256	2	0	05 34 53.174	-05 24 00.92	       	21.6791	2	20.5641	0.2115	1	       	18.8707	2	17.6896	0.0415	1
2053	71	83.737183	-5.368425	2	0	05 34 56.924	-05 22 06.33	       	21.2741	2	       	20.8008	2	16.8641	0.0436	1	16.3555	0.0201	1
2053	71	83.737183	-5.368425	2	0	05 34 56.924	-05 22 06.33	21.9778	0.268	1	       	21.4834	2	17.0146	0.07	1	16.4796	0.0223	1
1997	73	83.733167	-5.368633	2	0	05 34 55.960	-05 22 07.08	       	       	0	       	20.8367	2	       	18.4961	2	17.8299	0.0499	1
1997	73	83.733167	-5.368633	2	0	05 34 55.960	-05 22 07.08	       	21.5302	2	       	21.5067	2	       	18.5142	2	17.5566	0.0486	1
2063	75	83.737512	-5.383353	1	0	05 34 57.003	-05 23 00.07	20.6186	0.081	1	19.6722	0.0494	1	15.9024	0.0334	1	14.9457	0.0124	1
2106	76	83.74075	-5.380872	1	0	05 34 57.780	-05 22 51.14	18.1006	0.0199	1	18.5804	0.0297	1	14.3482	0.0147	1	14.3749	0.0114	1
2124	77	83.7407	-5.397928	1	1	05 34 57.768	-05 23 52.54	16.1352	0.0118	1	15.1819	0.0111	1	12.3461	0.0114	1	12.0695	0.0104	1
2122	78	83.740562	-5.39765	1	0	05 34 57.735	-05 23 51.54	17.8241	0.0208	1	16.6922	0.0143	1	13.3571	0.0121	1	12.6796	0.0107	1
2182	79	83.746592	-5.385497	1	0	05 34 59.182	-05 23 07.79	21.6976	0.1946	1	21.4051	0.1847	1	16.5938	0.0594	1	15.1738	0.0133	1
2222	80	83.750437	-5.383858	1	0	05 35 00.105	-05 23 01.89	14.8971	0.0106	1	14.4387	0.0105	1	11.4904	0.0104	1	11.5851	0.0102	1
2186	81	83.7471	-5.392456	1	1	05 34 59.304	-05 23 32.84	       	21.6158	2	       	21.4078	2	17.5906	0.093	1	15.7687	0.0164	1
2186	82	83.747087	-5.392303	1	1	05 34 59.301	-05 23 32.29	       	21.599	2	       	21.3802	2	18.1521	0.1315	1	16.389	0.0229	1
2204	83	83.748137	-5.400053	1	1	05 34 59.553	-05 24 00.19	18.6856	0.0349	1	18.7889	0.0327	1	14.7228	0.0193	1	14.3007	0.0119	1
2482	84	83.765387	-5.379361	1	0	05 35 03.693	-05 22 45.70	       	21.3563	2	       	21.3938	2	17.5699	0.1233	1	16.7381	0.0251	1
2358	85	83.757758	-5.398247	1	1	05 35 01.862	-05 23 53.69	       	21.4879	2	       	21.3475	2	19.0309	0.2984	1	17.6521	0.0513	1
2271	86	83.754325	-5.402817	1	1	05 35 01.038	-05 24 10.14	21.3935	0.1746	1	18.8732	0.0337	1	14.9836	0.022	1	13.9631	0.0111	1
2271	87	83.754054	-5.402942	1	0	05 35 00.973	-05 24 10.59	20.7485	0.0975	1	19.8887	0.0593	1	15.6626	0.0344	1	14.4078	0.0117	1
2433	88	83.761817	-5.368961	2	0	05 35 02.836	-05 22 08.26	       	21.5595	2	       	21.3838	2	17.138	0.0791	1	15.7582	0.0158	1
2433	88	83.761817	-5.368961	2	0	05 35 02.836	-05 22 08.26	       	21.3143	2	       	21.3719	2	16.7309	0.0782	1	15.5832	0.016	1
2251	90	83.752429	-5.410775	2	1	05 35 00.583	-05 24 38.79	20.7658	0.194	1	       	21.38	2	17.3698	0.0852	1	19.7101	0.1491	1
2251	90	83.752429	-5.410775	2	1	05 35 00.583	-05 24 38.79	20.5581	0.1723	1	       	21.4132	2	16.8218	0.0924	1	19.7943	0.1656	1
2520	92	83.767342	-5.373433	1	0	05 35 04.162	-05 22 24.36	21.6147	0.2681	1	20.5765	0.1014	1	16.6236	0.0721	1	15.4539	0.0145	1
2444	93	83.76285	-5.377167	2	0	05 35 03.084	-05 22 37.80	20.9329	0.1555	1	20.8277	0.2167	1	15.8156	0.0261	1	14.4795	0.0119	1
2444	93	83.76285	-5.377167	2	0	05 35 03.084	-05 22 37.80	21.3478	0.1846	1	20.9318	0.1331	1	15.9603	0.0561	1	14.5652	0.012	1
2332	95	83.756679	-5.402817	1	1	05 35 01.603	-05 24 10.14	21.2945	0.148	1	20.5637	0.0993	1	16.5608	0.0572	1	15.102	0.0129	1
2307	96	83.755717	-5.403733	1	1	05 35 01.372	-05 24 13.44	20.7544	0.1887	1	       	21.4265	2	16.6767	0.0726	1	18.0786	0.0709	1
2307	97	83.755646	-5.403692	1	1	05 35 01.355	-05 24 13.29	21.8368	0.2506	1	       	21.4173	2	16.8915	0.0895	1	17.9704	0.0663	1
2313	98	83.754879	-5.401872	1	1	05 35 01.171	-05 24 06.74	17.0467	0.0136	1	16.5832	0.0133	1	13.0295	0.0111	1	12.8075	0.0104	1
2277	99	83.754454	-5.384472	1	1	05 35 01.069	-05 23 04.10	21.3585	0.1439	1	       	22.2421	2	16.2543	0.0536	1	16.5729	0.0235	1
2228	100	83.750879	-5.402581	1	1	05 35 00.211	-05 24 09.29	       	22.267	2	       	21.5773	2	17.6341	0.088	1	17.9823	0.0608	1
2244	101	83.751942	-5.420633	2	0	05 35 00.466	-05 25 14.28	16.7577	0.0118	1	16.6909	0.0153	1	12.8952	0.0111	1	13.3789	0.0107	1
2244	101	83.751942	-5.420633	2	0	05 35 00.466	-05 25 14.28	15.9542	0.0117	1	16.1893	0.0124	1	12.837	0.0122	1	13.2648	0.0109	1
2468	103	83.764321	-5.392444	1	0	05 35 03.437	-05 23 32.80	20.0467	0.0651	1	       	21.26	2	15.2693	0.0252	1	16.5998	0.0246	1
2532	104	83.768217	-5.387208	1	0	05 35 04.372	-05 23 13.95	17.3814	0.0158	1	16.9478	0.0144	1	13.5095	0.0124	1	13.2467	0.0106	1
2596	105	83.770042	-5.377403	1	0	05 35 04.810	-05 22 38.65	19.0406	0.0396	1	19.0358	0.0363	1	14.8956	0.027	1	14.5186	0.0117	1
2532	106	83.76805	-5.387042	1	0	05 35 04.332	-05 23 13.35	19.7547	0.057	1	20.2423	0.0787	1	15.458	0.0415	1	14.7239	0.0121	1
2567	107	83.769292	-5.379125	1	0	05 35 04.630	-05 22 44.85	20.9744	0.1479	1	       	21.3996	2	15.6733	0.071	1	19.65	0.157	1
2586	108	83.768729	-5.399069	1	1	05 35 04.495	-05 23 56.65	18.2118	0.0577	1	17.2686	0.0171	1	13.7122	0.0158	1	13.0245	0.0108	1
